,station_id,year_2019,year_2020,abs_change,pct_change
111,41220,986250,66852,-919398,-0.932215969581749
112,41230,219534,61209,-158325,-0.7211866954549181
113,41240,223475,33845,-189630,-0.8485512920908379
114,41250,58140,14753,-43387,-0.74625042999656
115,41260,134469,32808,-101661,-0.7560181156995293
116,41270,73015,19000,-54015,-0.7397794973635554
117,41280,481437,100824,-380613,-0.7905769602253254
118,41290,312940,54605,-258335,-0.825509682367227
119,41300,391507,56610,-334897,-0.8554048842038584
120,41310,217448,20126,-197322,-0.9074445384643685
121,41320,990297,97764,-892533,-0.9012781014180594
122,41330,192347,21939,-170408,-0.8859405137589876
123,41340,217523,18950,-198573,-0.9128827756145327
124,41350,122985,11435,-111550,-0.9070211814448916
125,41360,80534,20357,-60177,-0.7472247746293491
126,41380,345667,52015,-293652,-0.8495228066318161
127,41400,883003,151768,-731235,-0.8281228942597024
128,41410,301883,24214,-277669,-0.9197901173633494
129,41420,838696,47653,-791043,-0.9431820349685702
130,41430,304906,82096,-222810,-0.7307498048578907
131,41440,189631,13927,-175704,-0.9265573666752799
132,41450,1128882,104468,-1024414,-0.9074588840994896
133,41460,248066,18828,-229238,-0.9241008441301911
134,41480,311188,38410,-272778,-0.8765697906088924
135,41490,303935,19858,-284077,-0.9346636616381793
136,41500,202048,19548,-182500,-0.9032507127019322
137,41510,292302,26704,-265598,-0.9086424314578757
138,41660,1637718,133766,-1503952,-0.9183217135062325
139,41670,70618,27282,-43336,-0.6136679033674134
140,41680,70382,11613,-58769,-0.8350004262453469
141,41690,156514,21684,-134830,-0.8614564831261101
142,41700,789167,91025,-698142,-0.884656859701432
